flow_id|genus|species|comname
0|Triteleia|laxa|Ithuriels spear
1|Mimulus|primuloides|Primrose monkeyflower
2|Viola|sheltonii|Sheltons violet
3|Polemonium|californicum|Showy Jacobs ladder
4|Chaenactis|douglasii|Douglas dustymaiden
5|Castilleja|lineariloba|Pale owls clover
6|Zigadenus|venenosus|Death camas
7|Arabis|platysperma|Broad-seeded rock-cress
8|Calyptridium|monospermum|One-seeded pussy paws
9|Streptanthus|diversifolius|Varied-leaved jewelflower
10|Lilium|pardalinum|Leopard lily
11|Lomatium|torreyi|Torreys lomatium
12|Penstemon|davidsonii|Alpine penstemon
13|Lithophragma|affine|Woodland star
14|Sphenosciadium|capitellatum|Rangers buttons
15|Geranium|molle|Doves-foot geranium
16|Gilia|mediomontana|Globe gilia
17|Dudleya|cymosa|Canyon dudleya
18|Smilacina|racemosa|Large false Solomons seal
19|Asarum|hartwegii|Hartwegs wild ginger
20|Lewisia|glandulosa|Alpine lewisia
21|Heracleum|lanatum|Cow parsnip
22|Gilia|leptalea|Bridges gilia
23|Rumex|paucifolia|Alpine sheep sorrel
24|Juncus|nevadensis|Sierra Nevada rush
25|Carex|limosa|Mud sedge
26|Draperia|systyla|Draperia
27|Asclepias|speciosa|Showy milkweed
28|Triphysaria|eriantha|Butter and eggs
29|Parvisedum|pumilum|Sierra stonecrop
30|Eriogonum|incanum|Hoary buckwheat
31|Angelica|lineariloba|Sierra angelica
32|Sarcodes|sanguinea|Snow plant
33|Erigeron|algidus|Sierra daisy
34|Aquilegia|pubescens|Alpine columbine
35|Arenaria|kingii|Kings sandwort
36|Eriophyllum|lanatum|Woolly sunflower
37|Orthilia|secunda|One-sided wintergreen
38|Phyllodoce|breweri|Red mountain heather
39|Phlox|condensata|Condensed phlox
40|Clarkia|rhomboidea|Diamond clarkia
41|Lupinus|polyphyllus|Large-leaved lupine
42|Penstemon|parvulus|Purple penstemon
43|Epilobium|angustifolium|Fireweed
44|Viola|quercetorum|Oak violet
45|Senecio|hydrophilus|Water groundsel
46|Hypericum|anagalloides|Tinkers penny
47|Mimulus|bicolor|Yellow-and-white monkeyflower
48|Ligusticum|grayi|Lovage
49|Fremontodendron|californicum|California flannelbush
